participant,trial_index,chart category,chart name,has dots,has median,jitter,group,response time (s),rating,location pvalue,spread pvalue,nonnormality pvalue,Kolmogorov-Smirnov distance,Wasserstein distance,Wasserstein spearman
P49c7f8cc96f5a,38,Box,box plot with dots,1,1,random,prolific,5.131,1,0.364655205452948,0.0765458526823473,0.208508414887242,0.16,0.268949919224556,0.467546802371811
P49c7f8cc96f5a,39,Violin,violin plot,0,0,wilkinson,prolific,3.069,4,0.00898064664786702,0.0383356827948933,0.021928837691643,0.34,0.325079365079365,0.467546802371811
P49c7f8cc96f5a,40,Box,box plot,0,1,density random,prolific,7.041,2,0.528598446449854,0.00193430103266135,0.0485136176866065,0.22,0.200532043530834,0.467546802371811
P49c7f8cc96f5a,41,Bands,density bands 50-90-99,0,0,beeswarm,prolific,3.317,1,0.000364145777417502,0.0844657399342577,0.0650787325151612,0.34,0.561597096188748,0.467546802371811
P49c7f8cc96f5a,42,Box,box plot,0,1,beeswarm,prolific,1.782,1,0.401977074580129,0.652813743523431,0.234214821438856,0.14,0.203407407407407,0.467546802371811
P49c7f8cc96f5a,43,Box,box plot with dots,1,1,beeswarm,prolific,2.824,1,0.463266244209366,0.658056341086652,0.304651222307676,0.14,0.120998336106489,0.467546802371811
P49c7f8cc96f5a,44,Bands,density bands 50-90-99,0,0,random,prolific,2.146,3,0.00000257888493226943,0.26053027540432,0.00521580643505214,0.54,0.600418535127055,0.467546802371811
P49c7f8cc96f5a,45,Bands,density bands 50-90-99,0,0,wilkinson,prolific,2.843,1,0.606566996535116,0.29517158551886,0.0962977302155816,0.12,0.161988527724665,0.467546802371811
P49c7f8cc96f5a,46,Bands,density bands 50-90-99,0,0,wilkinson,prolific,2.248,4,0.0467436976813929,0.000198532445945698,0.000206462308313252,0.34,0.242603815937149,0.467546802371811
P49c7f8cc96f5a,47,Bands,density bands 50-90-99,0,0,density random,prolific,2.337,1,0.765270782888216,0.258355508707674,0.370033231366575,0.14,0.174037735849057,0.467546802371811
P49c7f8cc96f5a,48,Violin,violin plot,0,0,beeswarm,prolific,2.923,4,0.280273532716837,0.000825101744223566,0.0256836176184191,0.24,0.254638694638695,0.467546802371811
P49c7f8cc96f5a,49,Box,box plot with dots,1,1,random,prolific,3.378,2,0.617751105244565,0.0235641769479673,0.229763748863579,0.16,0.243894297635605,0.467546802371811
P49c7f8cc96f5a,50,Dot,dot plot with median,1,1,beeswarm,prolific,3.305,2,0.570088190047299,0.802637439232131,0.304295172103227,0.16,0.107114093959732,0.467546802371811
P49c7f8cc96f5a,51,Dot,dot plot with median,1,1,wilkinson,prolific,2.443,3,0.0145601345227484,0.00177368902996444,0.00230793467241845,0.46,0.407061556329849,0.467546802371811
P49c7f8cc96f5a,52,Dot,dot plot,1,0,random,prolific,3.63,3,0.0000000050560473585648,0.9345272015341,0.249999739245226,0.5,0.827401032702238,0.467546802371811
P49c7f8cc96f5a,53,Box,box plot,0,1,beeswarm,prolific,3.428,2,0.657821856861509,0.516012150232909,0.0554813844934354,0.12,0.151309192200557,0.467546802371811
P49c7f8cc96f5a,54,Box,box plot with dots,1,1,beeswarm,prolific,4.111,1,0.0942519535788589,0.277335188317801,0.00804510209102325,0.18,0.25727115716753,0.467546802371811
P49c7f8cc96f5a,55,Box,box plot with dots,1,1,wilkinson,prolific,0.923,1,0.0667752793845398,0.0000000339914592029089,0.0000290201503543235,0.42,0.424020618556701,0.467546802371811
P49c7f8cc96f5a,56,Violin,violin plot with box,0,0,random,prolific,,2,0.00000193569982243069,0.976328644873897,0.543497264266948,0.44,0.666287744227354,0.467546802371811
P49c7f8cc96f5a,57,Violin,violin plot with box,0,0,wilkinson,prolific,2.357,1,0.703821024520721,0.335788028641372,0.546087462311213,0.16,0.116527331189711,0.467546802371811
P49c7f8cc96f5a,58,Dot,dot plot with median,1,1,random,prolific,2.014,1,0.703821024520721,0.335788028641372,0.546087462311213,0.16,0.116527331189711,0.467546802371811
P49c7f8cc96f5a,59,Bands,density bands 50-90-99,0,0,wilkinson,prolific,5.14,1,0.149866257203224,0.253621698124894,0.0719047869638868,0.14,0.195625990491284,0.467546802371811
P49c7f8cc96f5a,60,Bands,density bands 50-90-99,0,0,density random,prolific,1.2,1,0.442320964461022,0.592098627614797,0.432722650293869,0.16,0.139512195121951,0.467546802371811
P49c7f8cc96f5a,61,Box,box plot with dots,1,1,density random,prolific,3.18,2,0.194180949504431,0.161256218926279,0.0227153700353669,0.18,0.31959595959596,0.467546802371811
P49c7f8cc96f5a,62,Dot,dot plot,1,0,wilkinson,prolific,2.785,3,0.000000295375196301961,0.31868009307339,0.123600138603229,0.46,0.776284584980237,0.467546802371811
P49c7f8cc96f5a,63,Bands,density bands 50-90-99,0,0,random,prolific,2.551,2,0.193475105009798,0.0217296694811822,0.199439312560384,0.22,0.243301886792453,0.467546802371811
P49c7f8cc96f5a,64,Violin,violin plot with dots,1,0,density random,prolific,2.648,4,0.0730098258923722,0.00000102094908749351,0.0000493807342055691,0.4,0.348058252427184,0.467546802371811
P49c7f8cc96f5a,65,Dot,dot plot with median,1,1,density random,prolific,,1,0.943214620691221,0.885143342270252,0.196265506495371,0.12,0.115193798449612,0.467546802371811
P49c7f8cc96f5a,66,Bands,density bands 50-90-99,0,0,beeswarm,prolific,4.023,4,0.0042724417125708,0.457679000797036,0.00485867330425723,0.36,0.380123456790124,0.467546802371811
P49c7f8cc96f5a,67,Dot,dot plot,1,0,density random,prolific,2.324,3,0.978853237373065,0.0497219571343086,0.00873557391906099,0.2,0.159066147859922,0.467546802371811
P49c7f8cc96f5a,68,Bands,density bands 50-90-99,0,0,density random,prolific,5.093,3,0.328480768849663,0.962749251649222,0.539401140009602,0.16,0.149847094801223,0.467546802371811
P49c7f8cc96f5a,69,Violin,violin plot with dots,1,0,random,prolific,4.215,2,0.471711948848832,0.0172603809461471,0.0359384158484416,0.14,0.311111111111111,0.467546802371811
P49c7f8cc96f5a,70,Dot,dot plot with median,1,1,random,prolific,5.281,3,0.000364145777417502,0.0844657399342577,0.0650787325151612,0.34,0.561597096188748,0.467546802371811
P49c7f8cc96f5a,71,Dot,dot plot with median,1,1,wilkinson,prolific,3.77,4,0.560366120710738,0.00000235715152374638,0.0191458223847688,0.3,0.471866295264624,0.467546802371811
P49c7f8cc96f5a,72,Violin,violin plot with dots,1,0,wilkinson,prolific,4.442,2,0.652203937917689,0.306853822928115,0.00147957158954982,0.14,0.163270868824532,0.467546802371811
P49c7f8cc96f5a,73,Bands,density bands 50-90-99,0,0,density random,prolific,1.875,3,0.567026211546674,0.000000000494262630823528,0.000412460654953328,0.4,0.444725943970767,0.467546802371811
P49c7f8cc96f5a,74,Box,box plot,0,1,beeswarm,prolific,2.899,2,0.965012194179685,0.000301707924851513,0.515141544358942,0.2,0.478586572438163,0.467546802371811
P49c7f8cc96f5a,75,Dot,dot plot with median,1,1,beeswarm,prolific,3.599,1,0.537396337732597,0.00285097539813606,0.125613225062048,0.16,0.335606557377049,0.467546802371811
P49c7f8cc96f5a,76,Dot,dot plot with median,1,1,random,prolific,1.944,1,0.625729225795672,0.252894315860284,0.00530213782348386,0.12,0.162438095238095,0.467546802371811
P49c7f8cc96f5a,77,Violin,violin plot with median,0,1,wilkinson,prolific,4.412,2,0.0000104157066809218,0.55326397167213,0.704555898195705,0.38,0.570259965337955,0.467546802371811
P49c7f8cc96f5a,78,Dot,dot plot with median,1,1,density random,prolific,6.076,2,0.444862911007143,0.0000769001028892991,0.295596632062342,0.24,0.32515406162465,0.467546802371811
P49c7f8cc96f5a,79,Box,box plot,0,1,density random,prolific,3.218,3,0.9180354954906,0.000661511943810256,0.0641110304889601,0.22,0.34813863928113,0.467546802371811
P49c7f8cc96f5a,80,Bands,density bands 50-90-99,0,0,random,prolific,1.95,2,0.556041795754219,0.0444699427114927,0.369027044466286,0.16,0.230428893905192,0.467546802371811
P49c7f8cc96f5a,81,Violin,violin plot with dots,1,0,random,prolific,2.443,1,0.662012529339874,0.669057278703696,0.354431386167791,0.14,0.10336917562724,0.467546802371811
P49c7f8cc96f5a,82,Box,box plot,0,1,wilkinson,prolific,2.756,3,0.000000118872719667706,0.732688656418453,0.0238346978744762,0.5,0.729076175040519,0.467546802371811
P49c7f8cc96f5a,83,Dot,dot plot with median,1,1,density random,prolific,3.577,3,0.00000330212830590426,0.683522296417554,0.3104270081169,0.4,0.549560853199498,0.467546802371811
P49c7f8cc96f5a,84,Violin,violin plot with dots,1,0,density random,prolific,2.551,2,0.122562644507082,0.53775561948738,0.0364158741053828,0.24,0.247237479806139,0.467546802371811
P49c7f8cc96f5a,85,Box,box plot with dots,1,1,beeswarm,prolific,3.036,3,0.0000591031350767324,0.232365087892668,0.405493562202778,0.38,0.58961887477314,0.467546802371811
P49c7f8cc96f5a,86,Violin,violin plot with median,0,1,beeswarm,prolific,2.17,4,0.156641066766958,0.00000000954199252944932,0.000231579311709024,0.34,0.385638554216867,0.467546802371811
P49c7f8cc96f5a,87,Dot,dot plot,1,0,random,prolific,5.738,4,0.887876222071806,0.00143178892613149,0.51332072753353,0.16,0.301434599156118,0.467546802371811
P49c7f8cc96f5a,88,Violin,violin plot with median,0,1,random,prolific,2.826,3,0.647007416194106,0.0015137158573586,0.225463816552681,0.22,0.237548746518106,0.467546802371811
P49c7f8cc96f5a,89,Violin,violin plot,0,0,random,prolific,4.313,2,0.328480768849663,0.962749251649222,0.539401140009602,0.16,0.149847094801223,0.467546802371811
P49c7f8cc96f5a,90,Violin,violin plot with box,0,0,wilkinson,prolific,5.934,3,0.646277360517789,0.028358944468017,0.124916786993531,0.16,0.306176,0.467546802371811
P49c7f8cc96f5a,91,Violin,violin plot with median,0,1,beeswarm,prolific,3.637,4,7.6160411310866e-11,0.322712348595711,0.309222698642284,0.6,0.831419558359622,0.467546802371811
P49c7f8cc96f5a,92,Box,box plot,0,1,density random,prolific,5.227,2,0.845948717774022,0.00315954806980234,0.0569872042287787,0.18,0.268729927007299,0.467546802371811
P49c7f8cc96f5a,93,Violin,violin plot with dots,1,0,random,prolific,5.011,2,0.142003315839555,0.634058818922711,0.0164189516220137,0.22,0.202578710644678,0.467546802371811
